route,chapter,file,id,type,speaker,speaker_ja,japanese,english,proposed_fix,notes
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0010,dialogue,Shinpei Ajiro,網代慎平,竜之介さん、戻って！！,"Ryunosuke, come back!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0011,dialogue,Ryunosuke Minakata,南方竜之介,"お姉ちゃんの友達ってどんな人なんかな。
てか、なんでこんな所で会うてんのやろ。","I wonder what kind of person Sis's friend is. Or rather, why are they meeting in a place like this?",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0012,dialogue,Shinpei Ajiro,網代慎平,（ダメだ、聞こえないのか……！？）,"(Damn it, can he not hear me...?!)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0013,dialogue,Ryunosuke Minakata,南方竜之介,もしかして、友達って男の人とか……。,Maybe this friend is a guy...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0014,dialogue,Ryunosuke Minakata,南方竜之介,"いやいや、お姉ちゃんに限ってそれは無いわ。
うん、無いわ。","No, no, knowing Sis, there's no way. Yeah, definitely not.",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0015,dialogue,Ushio,ウシオ,"アカン……！
ハイネの方に向かってる！",Oh no...! He's heading right for Haine!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0016,dialogue,Shinpei Ajiro,網代慎平,くそっ、このままだと鉢合わせにっ！,"Damn it, at this rate they'll run right into each other!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0017,dialogue,Shinpei Ajiro,網代慎平,戻るんだ、竜之介さん！,"Go back, Ryunosuke!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0018,dialogue,Ryunosuke Minakata,南方竜之介,うーん、お姉ちゃん、どこにおるんやろ。,"Hmm, where could Sis be?",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0019,dialogue,Shinpei Ajiro,網代慎平,竜之介さん行くなっ！,"Don't go, Ryunosuke!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0020,dialogue,Ryunosuke Minakata,南方竜之介,あっちの方かな……。,Maybe that way…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0021,dialogue,Shinpei Ajiro,網代慎平,竜之介さんっ！！！！,Ryunosuke!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0022,dialogue,Ushio,ウシオ,慎平……。,Shinpei…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0023,dialogue,Shinpei Ajiro,網代慎平,竜之介さんっ！　そっちはダメだっ！　行くな！,Ryunosuke! That's dangerous! Don't go!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0024,dialogue,Ryunosuke Minakata,南方竜之介,おらんなぁ。,She's not here.,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0025,dialogue,Shinpei Ajiro,網代慎平,行くなっ！　殺されるっ！！,Don't go! You'll be killed!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0026,dialogue,Ryunosuke Minakata,南方竜之介,え？　なんなん、今の……。,Huh? What was that…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0027,dialogue,Shinpei Ajiro,網代慎平,ハァハァ……ウシオ、何かあったのか？,"*Pant, pant*... Ushio, did something happen?",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0028,dialogue,Ushio,ウシオ,わからん……。,I don't know…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0029,dialogue,Ryunosuke Minakata,南方竜之介,"空耳なんか……？
殺されるて聞こえた気がしたんやけど……。",Was I hearing things...? I could've sworn I heard someone say I'd be killed...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0030,dialogue,Shinpei Ajiro,網代慎平,……っ！？,…!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0031,dialogue,Ushio,ウシオ,"慎平！
もしかしたら<color=#GF_TIPS_083>声が届いた</color>んちゃう？",Shinpei! Maybe your <color=#GF_TIPS_083>voice reached him</color>!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0032,dialogue,Shinpei Ajiro,網代慎平,（過去に関与できた？）,(I was able to interfere with the past?),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0033,dialogue,Shinpei Ajiro,網代慎平,（なんでだ？）,(Why?),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0034,dialogue,Shinpei Ajiro,網代慎平,"（いや、今はそんなことを考えてる時間は無い！
　竜之介さんをハイネから遠ざけないと！）","(No, there's no time to think about that right now! I need to keep Ryunosuke away from Haine!)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0035,dialogue,Shinpei Ajiro,網代慎平,竜之介さん、この先は危険なんです！,"Ryunosuke, it's dangerous up ahead!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0036,dialogue,Shinpei Ajiro,網代慎平,"だから戻ってください！！
早くここから離れて！！",So please go back!! Get away from here quickly!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0037,dialogue,Ryunosuke Minakata,南方竜之介,…………。,…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0038,dialogue,Ryunosuke Minakata,南方竜之介,"気のせい……か。
蝉の声聞きすぎて耳がおかしなって
しもたんかも。",Just my imagination... huh. Listening to all these cicadas must have messed with my hearing.,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0039,dialogue,Ushio,ウシオ,"ちゃうッ！
気のせいちゃうねんッ！！",No! It wasn't your imagination!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0040,dialogue,Shinpei Ajiro,網代慎平,竜之介さん！！,Ryunosuke!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0041,dialogue,Ushio,ウシオ,あかん……やっぱり聞こえてへん……。,It's no use... He really can't hear us...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0042,dialogue,Shinpei Ajiro,網代慎平,さっきはたしかに届いたのに……！,But it definitely reached him just a moment ago...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0043,dialogue,Heine,ハイネ,ハァ、ウゥ……。,"*Pant*, *groan*...",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0044,dialogue,Ryunosuke Minakata,南方竜之介,えっ？　ま、また誰かの声？,Huh? S-Someone else's voice?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0045,dialogue,Ryunosuke Minakata,南方竜之介,"赤い……着物？
誰や……！？",A red... kimono? Who is that...?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0046,dialogue,Shinpei Ajiro,網代慎平,ハイネ……！,Haine…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0047,dialogue,Heine,ハイネ,ハァ、ハァ……。,"*Pant, pant*...",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0048,dialogue,Ryunosuke Minakata,南方竜之介,"まさか……
お姉ちゃんが言うてた『友達』？","Is this the ""friend"" Sis told us about?",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0049,dialogue,Ryunosuke Minakata,南方竜之介,さっきの声ももしかしてこの子が……？,Was that voice from earlier this girl too...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0050,dialogue,Ryunosuke Minakata,南方竜之介,……ねぇ。,…Hey.,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0051,dialogue,Shinpei Ajiro,網代慎平,竜之介さん、アカン！！,"Ryunosuke, don't!!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0052,dialogue,Heine,ハイネ,ハァ……ハッ、ハァ……。,"*Pant*... *pant, pant*...",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0053,dialogue,Ryunosuke Minakata,南方竜之介,"大丈夫？
あの……気分でも悪いん？",Are you okay? Um... are you feeling sick?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0054,dialogue,Heine,ハイネ,ハァ……ハァ……、い、嫌じゃ……！,*Pant... pant...* N-No...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0055,dialogue,Ryunosuke Minakata,南方竜之介,"えっ？
ど、どないし――",Huh? Wh-What's wro—,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0056,dialogue,Heine,ハイネ,もう嫌じゃああああッ！！！,I don't want to do this anymore!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0057,dialogue,Ushio,ウシオ,危ないっ！！,Look out!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0058,dialogue,Ryunosuke Minakata,南方竜之介,痛っっ……急になんなん……。,Ow... What was that for all of a sudden...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0059,dialogue,Heine,ハイネ,フゥ……フゥ……。,*Wheeze... wheeze*...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0060,dialogue,Ryunosuke Minakata,南方竜之介,なんや、この子……正気の目やない……。,What's with this kid... Those aren't the eyes of someone sane...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0061,dialogue,Heine,ハイネ,フゥ……フゥ……。,*Wheeze... wheeze*...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0062,dialogue,Ryunosuke Minakata,南方竜之介,"と、とりあえず落ち着こ？
着物泥だらけやん。
お母さんに怒られてしまうで。","L-Let's just calm down, okay? Your kimono is covered in mud. Your mom's gonna be mad at you.",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0063,dialogue,Heine,ハイネ,フゥ……フゥ……。,*Wheeze... wheeze*...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0064,dialogue,Ryunosuke Minakata,南方竜之介,"一人で立てる？
立てやんなら手ェ貸すから、ほら離れよ？","Can you stand by yourself? If not, I'll lend you a hand, so come on, let go.",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0065,dialogue,Heine,ハイネ,お腹……空いた……。,I'm... hungry...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0066,dialogue,Ryunosuke Minakata,南方竜之介,え？　何？,Huh? What?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0067,dialogue,Heine,ハイネ,"お腹空いたんは……嫌じゃ……。
嫌なんじゃぁぁぁぁぁぁ！！",I hate... being hungry... I hate it!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0068,dialogue,Ryunosuke Minakata,南方竜之介,うああああああぁぁっ！！？,Ahhhhhhhhhh!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0069,dialogue,Shinpei Ajiro,網代慎平,竜之介さんッ！！,Ryunosuke!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0070,dialogue,Heine,ハイネ,フゥ……フゥ……！！,*Wheeze... wheeze*...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0071,dialogue,Ryunosuke Minakata,南方竜之介,痛ッ……！！　な、なんやおまえッ！！,Ow...!! Wh-What's your problem?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0072,dialogue,Ryunosuke Minakata,南方竜之介,離せッ！　離せえェェェェッ！！,Let go!! Let go!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0073,dialogue,Heine,ハイネ,うぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0074,dialogue,Ryunosuke Minakata,南方竜之介,うああああああああああっっっっ！！,Ahhhhhhhhhhhhhh!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0075,dialogue,Shinpei Ajiro,網代慎平,竜之介さん早く逃げて！！,"Ryunosuke, run away quickly!!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0076,dialogue,Heine,ハイネ,うぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0077,dialogue,Ryunosuke Minakata,南方竜之介,うあああっ！　離して！！　離してや！！,Aaaah! Let go!! Let me go!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0078,dialogue,Heine,ハイネ,うぐぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0079,dialogue,Ryunosuke Minakata,南方竜之介,"うがああああああああ！！
誰か！　誰か！　助けて！！","Ahhhhhhhh!!!
Someone! Anyone! Help!!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0080,dialogue,Ushio,ウシオ,慎平なんとかせんと！,"Shinpei, we have to do something!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0081,dialogue,Shinpei Ajiro,網代慎平,"わかってる！
でも、どうしようもっ……。",I know! But there's nothing we can do...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0082,dialogue,Heine,ハイネ,うぐぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0083,dialogue,Ryunosuke Minakata,南方竜之介,い、い、いい加減にせえやっ！,K-K-Knock it off!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0084,dialogue,Heine,ハイネ,ぎゃッ！！,Gyah!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0085,dialogue,Ushio,ウシオ,ハイネが竜之介さんから離れた！,Haine let go of Ryunosuke!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0086,dialogue,Ryunosuke Minakata,南方竜之介,痛っ……ぐっ……うぅぅぅぅっ！！,Ow... Guh... Uuugh...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0087,dialogue,Shinpei Ajiro,網代慎平,竜之介さん、逃げて！！,"Ryunosuke, run!!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0088,dialogue,Heine,ハイネ,うぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0089,dialogue,Ryunosuke Minakata,南方竜之介,な、なんなんやっ、この子……。,Wh-What the hell is with this kid...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0090,dialogue,Heine,ハイネ,食餌が逃げんなや……。,Food shouldn't run away...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0091,dialogue,Ryunosuke Minakata,南方竜之介,し、食事？,Food?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0092,dialogue,Heine,ハイネ,うぅぅぅぅ～～～～！！,Grrrrrr...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0093,dialogue,Ryunosuke Minakata,南方竜之介,"あかん、この子普通やない。
今は、逃げんと……。","This is bad, this kid isn't normal. Right now, I have to run...",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0094,dialogue,Ryunosuke Minakata,南方竜之介,ハァ、ハァ……うぐッ！,"*Pant, pant*... Ugh!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0095,dialogue,Heine,ハイネ,もっと……もっとじゃ……。,More… more…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0096,dialogue,Ryunosuke Minakata,南方竜之介,"く、来んな……！
こっち来んなって！",S-Stay away...! I said stay away from me!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0097,dialogue,Shinpei Ajiro,網代慎平,"ダメだ！
足からの出血がひどい……！",This is bad! His legs are bleeding terribly...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0098,dialogue,Ushio,ウシオ,"早よ助けやんと！
慎平、いったん変身解くで！","We have to help him quickly! Shinpei, I'm undoing the transformation for now!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0099,dialogue,Shinpei Ajiro,網代慎平,何するつもりや！,What are you doing?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0100,dialogue,Ushio,ウシオ,こんのォ！！,Take this!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0101,dialogue,Heine,ハイネ,…………！？,…?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0102,dialogue,Ushio,ウシオ,"アカン！
攻撃がすり抜けてまう……！",It's no use! My attacks are going right through...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0103,dialogue,Shinpei Ajiro,網代慎平,でも……動きは止まった……。,But... her movements stopped...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0104,dialogue,Shinpei Ajiro,網代慎平,"（攻撃が届かなくても、
　ハイネは気配を感じてるのか……？）","(Even if the attacks don't hit, is Haine sensing their presence...?)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0105,dialogue,Heine,ハイネ,フゥ……フゥ……！！,*Wheeze... wheeze*...!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0106,dialogue,Shinpei Ajiro,網代慎平,"（動きを一瞬止める事はできたけど、
　それだけじゃ……！）","(We managed to stop her for a second, but that's not enough...!)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0107,dialogue,Shinpei Ajiro,網代慎平,"（フカンしろ……！
　今のオレたちにできることは……）",(Take a bird's-eye view...! What can we do right now...),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0108,dialogue,Ryunosuke Minakata,南方竜之介,"ハァ……ハァ……！
誰かっ……お姉、ちゃんっ……！","*Pant, pant*...! Someone... Onee-chan...!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0109,dialogue,Shinpei Ajiro,網代慎平,（そうだ、南雲先生……！）,"(That's right, Nagumo-sensei...!)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0110,dialogue,Shinpei Ajiro,網代慎平,"（先生は竜之介さんが殺された
　真実を知っていた）",(Nagumo-sensei knew the truth about how Ryunosuke was killed.),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0111,dialogue,Shinpei Ajiro,網代慎平,"（もし先生がその光景を自分の目で
　目撃したんだとしたら、まさに今この時、
　先生はここへ向かってるはず……）","(If she witnessed that scene with her own eyes, then right at this very moment, she should be heading this way...)",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0112,dialogue,Shinpei Ajiro,網代慎平,（先生はきっとこの近くにいる！）,(She must be nearby!),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0113,dialogue,Heine,ハイネ,もっと……もっとじゃ……！,More... more...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0114,dialogue,Ryunosuke Minakata,南方竜之介,うッ……わァァァッ！？,Ugh... Waaah?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0115,dialogue,Shinpei Ajiro,網代慎平,"ウシオ！
ハイネの動きを少しでも鈍らせてくれ！","Ushio! Try to slow Haine down, even just a little!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0116,dialogue,Shinpei Ajiro,網代慎平,その間にオレは南雲先生を呼んでくる！,I'll go call for Nagumo-sensei in the meantime!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0117,dialogue,Ushio,ウシオ,止める言うても、私の攻撃あたらんし！,"You say that, but my attacks don't even hit her!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0118,dialogue,Shinpei Ajiro,網代慎平,"確信はできないけど、
ハイネはウシオの攻撃の気配を感じてる
みたいなんや！","I can't be certain, but it seems Haine can sense your attacks!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0119,dialogue,Ushio,ウシオ,そうなんか？,Really?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0120,dialogue,Shinpei Ajiro,網代慎平,説明してる時間も考えてる時間もない！,We don't have time to explain or think!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0121,dialogue,Ushio,ウシオ,"わかった！
やれることはやってみる！",Got it! I'll do what I can!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0122,dialogue,Shinpei Ajiro,網代慎平,（きっと……きっとこの近くにいるはずだ！）,(I'm sure... she must be nearby!),,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0123,dialogue,Shinpei Ajiro,網代慎平,どこですかッ！？　南雲先生ッ！！,Where are you?! Nagumo-sensei!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0124,dialogue,Shinpei Ajiro,網代慎平,いたら返事してください！！,Answer me if you're here!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0125,dialogue,Shinpei Ajiro,網代慎平,…………。,...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0126,dialogue,Shinpei Ajiro,網代慎平,竜之介さんが危ないんです！！,Ryunosuke is in danger!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0127,dialogue,Shinpei Ajiro,網代慎平,南雲先生ッ！！,Nagumo-sensei!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0128,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,誰かそこにおるんか！？,Is someone there?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0129,dialogue,Shinpei Ajiro,網代慎平,…………！,...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0130,dialogue,Shinpei Ajiro,網代慎平,オレの声が……聞こえた！？,You... heard my voice?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0131,dialogue,Shinpei Ajiro,網代慎平,"先生、急いでください！
竜之介さんがハイネに襲われて……！","Nagumo-sensei, please hurry! Ryunosuke is being attacked by Haine...!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0132,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,空耳か……？,Just hearing things...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0133,dialogue,Shinpei Ajiro,網代慎平,"空耳じゃありません！
先生、こっちです！
早くこっちへッ！","You're not hearing things! Nagumo-sensei, over here! Hurry this way!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0134,dialogue,Heine,ハイネ,嫌じゃ……！,I don't want to...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0135,dialogue,Heine,ハイネ,ひだるいんはもう嫌じゃあああ！,I don't want to be hungry anymore!!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0136,dialogue,Ryunosuke Minakata,南方竜之介,うあ！！,Gah!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0137,dialogue,Ushio,ウシオ,竜之介さん、しっかりしィ！,"Ryunosuke-san, hang in there!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0138,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,竜之介！？,Ryunosuke?!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0139,dialogue,Heine,ハイネ,ハァ……ハァ……。,*Pant... pant*...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0140,dialogue,Ryunosuke Minakata,南方竜之介,お、ねえ……ちゃん……！,O-Onee-chan...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0141,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,"竜之……介？
なんや、その血……。",Ryuno...suke? What's with all that blood...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0142,dialogue,Ryunosuke Minakata,南方竜之介,お姉ちゃん……逃げて……。,Onee-chan... run...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0143,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,"これは……どういう状況なん？
なんでこんなことに……",What... is going on here? Why did this happen...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0144,dialogue,Heine,ハイネ,ひ……ひづる……？,Hi... Hizuru...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0145,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,ハイネ……？,Haine...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0146,dialogue,Ryunosuke Minakata,南方竜之介,アカン、その化物に近づいたら危ない！,"Don't, it's dangerous to get close to that monster!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0147,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,"ばけ……もの？
ハイネが？",Mon...ster? Haine is?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0148,dialogue,Heine,ハイネ,ひづる……ひづる……。,Hizuru... Hizuru...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0149,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,"ハイネ……これは……
キミがやったんか……？",Haine... did you... do this...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0150,dialogue,Heine,ハイネ,…………！,...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0151,dialogue,Heine,ハイネ,ち、違う……！　わ、わしじゃ……！,N-No...! I-It wasn't...!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0152,dialogue,Heine,ハイネ,わしじゃない！！,It wasn't me!!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0153,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,ハイネ……なんで……。,Haine... why...?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0154,dialogue,Shinpei Ajiro,網代慎平,"先生逃げて！
このままじゃ先生まで殺されます！","Nagumo-sensei, run! At this rate, you'll be killed too!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0155,dialogue,Hizuru Minakata (Past),南方ひづる（過去）,殺される？,Killed?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0156,dialogue,Shinpei Ajiro,網代慎平,早く竜之介さんを連れて逃げてください！,Hurry up and get Ryunosuke out of there!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0157,dialogue,Ryunosuke Minakata,南方竜之介,お姉、ちゃん……。,Onee-chan...,,
